,TSLA,QQQ,Y_d1_pr_change_diff,Y_d5_pr_change_diff,earnings flag,tweet count,tweet flag,compound,positive,negative,neutral,tesla flag,spacex flag
2010-06-29,4.777999877929688,39.03128433227539,,,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-06-30,4.765999794006348,38.43730163574219,0.012706589429264947,,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-01,4.392000198364259,38.32929229736328,-0.07566241863888779,,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-02,3.839999914169312,38.22132110595703,-0.12286618240765368,,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-06,3.2219998836517334,38.33830642700195,-0.1639982461727294,,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-07,3.1600000858306885,39.562255859375,-0.051167618247254576,-0.35223911957690235,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-08,3.492000102996826,39.77824020385742,0.09960394010441664,-0.30219644671204926,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-09,3.4800000190734863,40.15623092651367,-0.012938899647061963,-0.2553145979443757,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-12,3.4100000858306885,40.27322006225586,-0.023028272746603684,-0.16566379304704748,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-13,3.628000020980835,40.79519653320313,0.05096871569568728,0.06192426591084743,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-14,3.9679999351501465,41.002197265625,0.08864137680278494,0.21929930007471143,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-15,3.9779999256134033,41.038185119628906,0.0016424534292729387,0.10750097819565552,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-16,4.127999782562257,39.90424346923828,0.0653387344876033,0.19248200458206033,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-19,4.381999969482422,40.2462272644043,0.05296094529251838,0.28571418883366284,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-20,4.059999942779541,40.73220443725586,-0.08555753357784834,0.12061795336820713,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-21,4.044000148773193,40.174232482910156,0.009757709446623908,0.039346460759170254,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-22,4.199999809265137,41.1911735534668,0.013262315352897902,0.052078956748224714,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-23,4.257999897003174,41.45216369628906,0.007473475719824707,-0.007298590205126132,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-26,4.190000057220459,41.79415512084961,-0.024220168850318302,-0.08227702962561867,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-27,4.110000133514403,41.77614974975586,-0.018662249544879495,-0.013314164207398838,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-28,4.144000053405762,41.44317626953125,0.016242906819201264,-0.006858044338533986,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-29,4.070000171661377,41.13718032836914,-0.010473608077948615,-0.02964150008367672,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-07-30,3.98799991607666,41.22717666625977,-0.022335194941807357,-0.05798241817212535,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-02,4.184000015258788,42.001136779785156,0.03037441181302114,-0.006384397723972146,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-03,4.389999866485597,41.82115936279297,0.05352020652196299,0.06704905375385284,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-04,4.251999855041504,42.24414443969727,-0.0415492236756404,0.006734826730697918,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-05,4.0900001525878915,42.14513778686523,-0.03575597155338084,-0.01958834677271648,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-06,3.9179999828338623,42.08214569091797,-0.04055918285210158,-0.03829063760043283,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-09,3.920000076293945,42.37012481689453,-0.006332773086147325,-0.07188269119583768,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-10,3.8059999942779537,42.001136779785156,-0.020372968796177227,-0.13733308907132957,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-11,3.5799999237060547,40.85819625854492,-0.03216781203879571,-0.1252352087751799,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-12,3.5199999809265137,40.5342025756836,-0.008830050043507898,-0.10114082720880213,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-13,3.6640000343322754,40.2462272644043,0.048013608007101305,-0.02120196592547785,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-16,3.75600004196167,40.31822967529297,0.023320124687025157,0.006591133146534145,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-17,3.829999923706055,40.83120346069336,0.006978655977634363,0.0341606156558899,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-18,3.753999948501587,40.99318313598633,-0.02381039207088076,0.04529957047465816,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-19,3.757999897003174,40.37222671508789,0.01621331350418498,0.0716096421746093,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-20,3.8199999332427983,40.42620849609375,0.015161045503619519,0.03810438865683685,0.0,0.0,0,0.0,0.0,0.0,0.0,,
2010-08-23,4.026000022888184,40.03023910522461,0.06372159434927249,0.0790279150338633,0.0,0.0,0,0.0,0.0,0.0,0.0,,
