,Compound,Positive,Negative,Neutral
170,0.4574,0.176,0.0,0.824
171,0.8777,0.835,0.0,0.165
172,0.6588,0.815,0.0,0.185
173,0.3818,0.133,0.0,0.867
174,-0.431,0.031,0.093,0.876
175,0.4019,1.0,0.0,0.0
176,0.0,0.0,0.0,1.0
177,0.0,0.0,0.0,1.0
178,0.0,0.0,0.0,1.0
179,0.296,1.0,0.0,0.0
180,0.0,0.0,0.0,1.0
181,0.0,0.0,0.0,1.0
182,0.8881,0.446,0.0,0.554
183,-0.4767,0.0,0.341,0.659
184,0.4404,0.744,0.0,0.256
185,-0.6124,0.038,0.147,0.815
186,0.34,0.123,0.09,0.787
187,0.0,0.0,0.0,1.0
188,0.0,0.0,0.0,1.0
189,0.7035,0.297,0.083,0.62
190,0.0,0.0,0.0,1.0
191,0.3182,0.221,0.113,0.667
192,0.5267,0.185,0.0,0.815
193,0.0,0.0,0.0,1.0
194,0.4215,0.333,0.19,0.476
195,0.0,0.0,0.0,1.0
196,0.6249,0.804,0.0,0.196
197,0.8885,0.333,0.0,0.667
198,0.0,0.0,0.0,1.0
199,0.0,0.0,0.0,1.0
200,0.0,0.0,0.0,1.0
201,0.0,0.0,0.0,1.0
202,0.6249,0.577,0.0,0.423
203,0.4215,1.0,0.0,0.0
204,0.0,0.0,0.0,0.0
205,0.0,0.0,0.0,1.0
206,0.0,0.0,0.0,1.0
207,0.4215,0.737,0.0,0.263
208,0.5562,0.479,0.0,0.521
209,0.4404,0.42,0.0,0.58
210,0.4019,0.231,0.0,0.769
211,-0.296,0.0,0.167,0.833
212,0.4753,0.34,0.0,0.66
213,0.5974,0.493,0.0,0.507
214,0.0,0.0,0.0,1.0
215,0.0,0.0,0.0,1.0
216,0.8197,0.334,0.0,0.666
217,0.4404,0.492,0.0,0.508
218,0.0,0.0,0.0,1.0
219,0.0,0.0,0.0,1.0
220,0.6705,0.44,0.0,0.56
221,0.6808,0.189,0.0,0.811
222,0.0,0.0,0.0,1.0
223,0.2492,0.166,0.0,0.834
224,0.2732,0.072,0.0,0.928
225,-0.4767,0.0,0.14,0.86
226,0.9524,0.533,0.0,0.467
227,0.2749,0.055,0.0,0.945
228,0.0,0.0,0.0,1.0
229,0.6696,0.478,0.0,0.522
230,0.2928,0.098,0.051,0.851
231,0.7506,0.444,0.0,0.556
232,0.3626,0.16,0.062,0.778
233,0.0,0.0,0.0,0.0
234,0.4019,0.474,0.0,0.526
235,0.0,0.0,0.0,0.0
236,0.8553,0.313,0.0,0.687
237,0.0,0.0,0.0,0.0
238,0.0,0.0,0.0,1.0
239,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0,0.0
241,0.0,0.0,0.0,0.0
242,0.0,0.0,0.0,0.0
243,0.0,0.0,0.0,1.0
244,0.4588,0.75,0.0,0.25
245,0.0,0.0,0.0,1.0
246,0.0,0.0,0.0,1.0
247,0.4019,1.0,0.0,0.0
248,0.2732,0.231,0.0,0.769
249,0.6341,0.807,0.0,0.193
250,0.8974,0.352,0.0,0.648
251,0.6696,0.333,0.0,0.667
252,0.0,0.0,0.0,1.0
253,0.7644,0.767,0.0,0.233
254,0.0,0.0,0.0,1.0
255,-0.4635,0.173,0.243,0.584
256,0.6239,0.254,0.0,0.746
257,0.0,0.0,0.0,0.0
258,0.0,0.0,0.0,1.0
259,0.0,0.0,0.0,1.0
260,0.4926,0.262,0.0,0.738
261,0.25,0.222,0.0,0.778
262,0.4019,0.574,0.0,0.426
263,0.0,0.0,0.0,1.0
264,0.0,0.0,0.0,1.0
265,0.8356,0.798,0.0,0.202
266,0.0,0.0,0.0,1.0
267,0.0,0.0,0.0,1.0
268,0.4019,1.0,0.0,0.0
269,0.0,0.0,0.0,1.0
270,0.0,0.0,0.0,1.0
271,0.0,0.0,0.0,1.0
272,0.636,1.0,0.0,0.0
273,0.636,1.0,0.0,0.0
274,0.4019,0.574,0.0,0.426
