date,TSLA,QQQ,earnings flag
2017-01-03,43.39799880981450,115.84799194335900,0
2017-01-04,45.39799880981450,116.47792053222700,0
2017-01-05,45.349998474121100,117.13693237304700,0
2017-01-06,45.801998138427700,118.16419219970700,0
2017-01-09,46.25600051879880,118.55181884765600,0
2017-01-10,45.9739990234375,118.81348419189500,0
2017-01-11,45.94599914550780,119.13329315185500,0
2017-01-12,45.917999267578100,118.94915771484400,0
2017-01-13,47.54999923706060,119.35618591308600,0
2017-01-17,47.11600112915040,118.99761962890600,0
2017-01-18,47.672000885009800,119.23991394043000,0
2017-01-19,48.75199890136720,119.1817398071290,0
2017-01-20,48.94599914550780,119.44339752197300,0
2017-01-23,49.784000396728500,119.54032897949200,0
2017-01-24,50.922000885009800,120.34469604492200,0
2017-01-25,50.89400100708010,121.55607604980500,0
2017-01-26,50.50199890136720,121.68206024169900,0
2017-01-27,50.59000015258790,121.9146728515630,0
2017-01-30,50.125999450683600,120.96492004394500,0
2017-01-31,50.38600158691410,120.7226333618160,0
2017-02-01,49.847999572753900,121.55607604980500,0
2017-02-02,50.310001373291000,121.44947814941400,0
2017-02-03,50.26599884033200,121.79837036132800,0
2017-02-06,51.55400085449220,121.94374084472700,0
2017-02-07,51.49599838256840,122.38953399658200,0
2017-02-08,52.41600036621090,122.59303283691400,0
2017-02-09,53.84000015258790,123.0388412475590,0
2017-02-10,53.84600067138670,123.44585418701200,0
2017-02-13,56.119998931884800,124.14362335205100,0
2017-02-14,56.19599914550780,124.56034851074200,0
2017-02-15,55.95199966430660,125.296875,0
2017-02-16,53.790000915527300,125.25811004638700,0
2017-02-17,54.44599914550780,125.80079650878900,0
2017-02-21,55.47800064086910,126.4210433959960,0
2017-02-22,54.70199966430660,126.46949768066400,1
2017-02-23,51.198001861572300,125.99462127685500,0
2017-02-24,51.400001525878900,126.23690795898400,0
2017-02-27,49.24599838256840,126.3919677734380,0
2017-02-28,49.99800109863280,126.00431060791000,0
2017-03-01,50.00400161743160,127.38047790527300,0
2017-03-02,50.09600067138670,126.74083709716800,0
2017-03-03,50.31399917602540,126.97344970703100,0
2017-03-06,50.242000579834000,126.69237518310500,0
2017-03-07,49.71799850463870,126.47916412353500,0
2017-03-08,49.374000549316400,126.70210266113300,0
2017-03-09,48.97999954223630,126.79898071289100,0
2017-03-10,48.737998962402300,127.33199310302700,0
2017-03-13,49.23400115966800,127.54521942138700,0
2017-03-14,51.599998474121100,127.23506164550800,0
2017-03-15,51.145999908447300,128.02008056640600,0
2017-03-16,52.40999984741210,127.932861328125,0
2017-03-17,52.29999923706060,127.88819885253900,0
2017-03-20,52.38399887084960,128.00469970703100,0
2017-03-21,50.13600158691410,126.06246948242200,0
2017-03-22,51.00199890136720,126.91705322265600,0
2017-03-23,50.95600128173830,126.59660339355500,0
2017-03-24,52.63199996948240,126.8587875366210,0
2017-03-27,54.04399871826170,127.06270599365200,0
2017-03-28,55.4900016784668,127.83963012695300,0
2017-03-29,55.47600173950200,128.43202209472700,0
2017-03-30,55.58399963378910,128.64566040039100,0
2017-03-31,55.65999984741210,128.5583038330080,0
2017-04-03,59.70399856567380,128.48057556152300,0
2017-04-04,60.7400016784668,128.6844940185550,0
2017-04-05,59.0,128.16012573242200,0
2017-04-06,59.7400016784668,128.2280731201170,0
2017-04-07,60.507999420166000,128.16012573242200,0
2017-04-10,62.47800064086910,128.20867919921900,0
2017-04-11,61.742000579834000,127.65510559082000,0
2017-04-12,59.36800003051760,127.14041137695300,0
2017-04-13,60.79999923706060,126.63542175293000,0
2017-04-17,60.28799819946290,127.68423461914100,0
2017-04-18,60.04999923706060,127.49000549316400,0
2017-04-19,61.104000091552700,127.69398498535200,0
2017-04-20,60.50199890136720,128.76220703125,0
2017-04-21,61.119998931884800,128.7330780029300,0
2017-04-24,61.60599899291990,130.28689575195300,0
2017-04-25,62.757999420166000,131.2288818359380,0
2017-04-26,62.034000396728500,131.04437255859400,0
2017-04-27,61.72600173950200,131.83099365234400,0
2017-04-28,62.81399917602540,132.06405639648400,0
2017-05-01,64.56600189208980,133.2391357421880,0
2017-05-02,63.77799987792970,133.4624786376950,0
2017-05-03,62.20399856567380,133.03518676757800,1
2017-05-04,59.09199905395510,133.08370971679700,0
2017-05-05,61.66999816894530,133.56927490234400,0
2017-05-08,61.4379997253418,133.86065673828100,0
2017-05-09,64.25199890136720,134.3267822265630,0
2017-05-10,65.04399871826170,134.40447998046900,0
2017-05-11,64.62000274658200,134.29763793945300,0
2017-05-12,64.96199798583980,134.5987091064450,0
2017-05-15,63.17599868774410,135.02598571777300,0
2017-05-16,63.402000427246100,135.5892333984380,0
2017-05-17,61.22200012207030,132.14173889160200,0
2017-05-18,62.61199951171880,133.29739379882800,0
2017-05-19,62.16600036621090,133.86065673828100,0
2017-05-22,62.06999969482420,134.98715209960900,0
2017-05-23,60.77199935913090,135.12307739257800,0
2017-05-24,62.04399871826170,135.74464416503900,0
2017-05-25,63.36600112915040,136.90028381347700,0
2017-05-26,65.02799987792970,137.14303588867200,0
2017-05-30,67.0199966430664,137.25958251953100,0
2017-05-31,68.2020034790039,137.2110595703130,0
2017-06-01,68.0739974975586,137.74514770507800,0
2017-06-02,67.97000122070310,139.31838989257800,0
2017-06-05,69.46399688720700,139.28924560546900,0
2017-06-06,70.56999969482420,138.73574829101600,0
2017-06-07,71.93000030517580,139.27957153320300,0
2017-06-08,74.0,139.4252166748050,0
2017-06-09,71.46399688720700,135.93887329101600,0
2017-06-12,71.802001953125,135.2104949951170,0
