date,y_1d,pct 1d change QQQ,pct 1d change TSLA,y_5d,pct 5d change QQQ,pct 5d change TSLA,Predicted RF 1d all,Predicted RF 1d present,Predicted RF 5d present,Signal Predicted RF 1d all,Signal Predicted RF 1d present,Signal Predicted RF 5d present
2012-01-03,-0.035971706447289864,0.01916503286403537,-0.016806673583254494,-0.009057483250786813,0.015509141362299639,0.006451658111512826,-0.019725993549803242,0.0020993529996345037,0.003965767636656688,-1,1,1
2012-01-04,-0.01739504582736151,0.004218344212449265,-0.013176701614912245,-0.046104665208086086,0.01600308988471677,-0.030101575323369323,-0.014261443643060354,-0.013341204816465873,-0.027083253198390556,-1,-1,-1
2012-01-05,-0.02951729130196035,0.008225332728114765,-0.021291958573845582,-0.08509254032954107,0.03633765644925413,-0.048754883880286926,-0.018974457127760153,-0.02754544946286254,-0.05115773169892664,-1,-1,-1
2012-01-06,-0.011214880492101287,0.0034715511136564903,-0.0077433293784447965,-0.09585437725595147,0.032505986124990116,-0.06334839113096136,0.0007221877467252714,-0.004182221116196079,-0.06507140709111325,1,-1,-1
2012-01-09,0.015921282452835306,-0.0032866038634086214,0.012634678589426684,-0.07792998889083236,0.03206162600171991,-0.045868362889112446,0.020013817740563555,0.006155462968532882,-0.04934037952212382,1,1,-1
2012-01-10,0.006288990186954725,0.007289057734393811,0.013578047921348535,-0.03641713859283735,0.020035371364421017,-0.016381767228416333,0.0007221877467252714,-0.0014667358949722769,-0.033807446163578427,1,-1,-1
2012-01-11,0.020017869739639812,0.0020675279601476415,0.022085397699787457,0.0009151271675298387,0.01785067849628419,0.018765805663814028,0.0007221877467252714,-0.0016997447213648403,0.01417159999831635,1,-1,1
2012-01-12,-0.0032460564627256887,0.003954555751608302,0.0007084992888826136,0.028127596094237983,0.013539129180734744,0.04166672527497273,-0.0024694421711805767,0.0020993529996345037,0.003965767636656688,-1,1,1
2012-01-13,-0.18967793769972485,-0.0035963966714819273,-0.19327433437120678,-0.1595031850578078,0.0064002704504657615,-0.15310291460734204,-0.12212869542782806,-0.12020482849171338,-0.08475728820759033,-1,-1,-1
2012-01-17,0.15806891658969624,0.009109685704164594,0.16717860229386083,-0.04277018262731192,0.018917037278066706,-0.02385314534924521,0.10336856511996939,0.0020993529996345037,0.003965767636656688,1,1,1
2012-01-18,-0.0053907563566830685,0.013285458525727378,0.00789470216904431,-0.05430926604716802,0.024982659535872198,-0.029326606511295816,-0.028245603711615552,0.0020993529996345037,0.003965767636656688,-1,1,1
2012-01-19,-0.00808473821492217,0.006219808698693319,-0.0018649295162288526,-0.0813021003026061,0.029229894014368707,-0.05207220628823739,-0.005632023999197591,-0.005377701204432773,-0.04703252725772484,-1,-1,-1
2012-01-20,-0.004475463404954083,-0.0015036216914087186,-0.005979085096362802,-0.08204136785779326,0.02363430270099265,-0.05840706515680061,0.0007221877467252714,-0.0020502746440186842,-0.044186011551900564,1,-1,-1
2012-01-23,0.006056359716552606,0.0003346024628223532,0.006390962179374959,0.1469652645450641,0.027672732052632654,0.17463799659769674,0.0007221877467252714,0.0015272271296699394,0.09216999273734976,1,1,1
2012-01-24,0.02612087517198769,-0.0018399427442825633,0.024280932427705126,0.014305393078826613,0.016521680049079057,0.03082707312790567,0.019115703762745975,0.013440647222460866,-0.005961816435613999,1,1,-1
2012-01-25,0.007491105643563811,0.012567182566750823,0.020058288210314634,0.02746630407127726,0.015801110067131363,0.04326741413840862,0.004329665338155566,0.0017111310494571951,0.013965860844730938,1,1,1
2012-01-26,0.038155116952060864,-0.003475058156350297,0.03468005879571057,0.0754509171565223,0.006013927954266363,0.08146484511078866,0.0007221877467252714,0.0020993529996345037,0.003965767636656688,1,1,1
2012-01-27,0.010487250199661123,0.0029889189822913664,0.013476169181952491,0.0920912839691368,0.010540292383648842,0.10263157635278564,0.0007221877467252714,0.0020993529996345037,0.003965767636656688,1,1,1
2012-01-30,0.0073547695638827015,0.0008279541695521697,0.008182723733434871,0.0935560056779856,0.011038677400761587,0.1045946830787472,0.005413954631889703,0.004051420428538027,0.05421524891925747,1,1,1
2012-01-31,-0.018232090606171814,0.001323077408328821,-0.016909013197842993,0.04593253055488966,0.014242507977272778,0.06017503853216244,-0.06777396674603695,0.0023663086245828903,0.03505984550929312,-1,1,1
2012-02-01,0.009448327987142012,0.008095489934881295,0.017543817922022864,0.04779826262371789,0.009763416784178691,0.05756167940789636,-0.01142166413062765,0.0020993529996345037,0.003965767636656688,-1,1,1
2012-02-02,0.01953684969720193,0.0031136411524974594,0.022650490849699834,0.028826436800196475,0.016439644590335867,0.04526608139053234,0.021716289155047933,0.0020993529996345037,0.003965767636656688,1,1,1
2012-02-03,0.016028729608163372,0.01372330719578252,0.02975203680394589,0.0347344896034778,0.027317987844303726,0.06205247744778153,0.010543149362926729,0.012799080704010486,0.02752319569304799,1,1,1
2012-02-06,0.021672594785666854,-0.0008058028044606314,0.020866791981206,0.049773299157948266,0.02564098839581974,0.07541428755376778,0.0007221877467252714,0.009593458915859708,0.020723023062974157,1,1,1
2012-02-07,-0.00838615985492097,0.0020968578088025325,-0.006289302046118106,0.06059774836929921,0.02643356065611102,0.08703130902541023,-0.0023759760235968594,-0.0036219222471279107,0.04802066083348039,-1,-1,1
2012-02-08,0.005131773605033141,0.0053112616716353145,0.010443035276668455,0.05584693292103005,0.02359868503325968,0.07944561795428995,0.019760284045451146,0.029632357652761433,0.07613372635278787,1,1,1
