date,TSLA,QQQ,earnings flag
2010-06-29,4.7779998779296875,39.03128433227539,0
2010-06-30,4.765999794006348,38.43730163574219,0
2010-07-01,4.392000198364258,38.32929229736328,0
2010-07-02,3.8399999141693115,38.22132110595703,0
2010-07-06,3.2219998836517334,38.33830642700195,0
2010-07-07,3.1600000858306885,39.562255859375,0
2010-07-08,3.492000102996826,39.77824020385742,0
2010-07-09,3.4800000190734863,40.15623092651367,0
2010-07-12,3.4100000858306885,40.27322006225586,0
2010-07-13,3.628000020980835,40.795196533203125,0
2010-07-14,3.9679999351501465,41.002197265625,0
2010-07-15,3.9779999256134033,41.038185119628906,0
2010-07-16,4.127999782562256,39.90424346923828,0
2010-07-19,4.381999969482422,40.2462272644043,0
2010-07-20,4.059999942779541,40.73220443725586,0
2010-07-21,4.044000148773193,40.174232482910156,0
2010-07-22,4.199999809265137,41.1911735534668,0
2010-07-23,4.257999897003174,41.45216369628906,0
2010-07-26,4.190000057220459,41.79415512084961,0
2010-07-27,4.110000133514404,41.77614974975586,0
2010-07-28,4.144000053405762,41.44317626953125,0
2010-07-29,4.070000171661377,41.13718032836914,0
2010-07-30,3.98799991607666,41.227176666259766,0
2010-08-02,4.184000015258789,42.001136779785156,0
2010-08-03,4.389999866485596,41.82115936279297,0
2010-08-04,4.251999855041504,42.244144439697266,0
2010-08-05,4.090000152587891,42.145137786865234,0
2010-08-06,3.9179999828338623,42.08214569091797,0
2010-08-09,3.9200000762939453,42.37012481689453,0
2010-08-10,3.805999994277954,42.001136779785156,0
2010-08-11,3.5799999237060547,40.85819625854492,0
2010-08-12,3.5199999809265137,40.534202575683594,0
2010-08-13,3.6640000343322754,40.2462272644043,0
2010-08-16,3.75600004196167,40.31822967529297,0
2010-08-17,3.8299999237060547,40.83120346069336,0
2010-08-18,3.753999948501587,40.99318313598633,0
2010-08-19,3.757999897003174,40.37222671508789,0
2010-08-20,3.819999933242798,40.42620849609375,0
2010-08-23,4.026000022888184,40.03023910522461,0
2010-08-24,3.8399999141693115,39.28325653076172,0
2010-08-25,3.9800000190734863,39.6612434387207,0
2010-08-26,3.950000047683716,39.18426513671875,0
2010-08-27,3.940000057220459,39.6612434387207,0
2010-08-30,3.9739999771118164,39.24726867675781,0
2010-08-31,3.8959999084472656,39.11225509643555,0
2010-09-01,4.090000152587891,40.282222747802734,0
2010-09-02,4.211999893188477,40.73220443725586,0
2010-09-03,4.210000038146973,41.407161712646484,0
2010-09-07,4.107999801635742,41.128177642822266,0
2010-09-08,4.179999828338623,41.62314987182617,0
2010-09-09,4.142000198364258,41.78515625,0
2010-09-10,4.033999919891357,41.93814468383789,0
2010-09-13,4.144000053405762,42.52311706542969,0
2010-09-14,4.223999977111816,42.703121185302734,0
2010-09-15,4.395999908447266,42.97309112548828,0
2010-09-16,4.188000202178955,43.14408493041992,0
2010-09-17,4.046000003814697,43.29023361206055,0
2010-09-20,4.211999893188477,44.04796600341797,0
2010-09-21,4.1539998054504395,44.038944244384766,0
2010-09-22,3.9739999771118164,43.92168045043945,0
2010-09-23,3.9119999408721924,43.90364074707031,0
2010-09-24,4.019999980926514,44.79668045043945,0
2010-09-27,4.105999946594238,44.55311965942383,0
2010-09-28,4.28000020980835,44.53507995605469,0
2010-09-29,4.395999908447266,44.462921142578125,0
2010-09-30,4.081999778747559,44.26445770263672,0
2010-10-01,4.119999885559082,44.210350036621094,0
2010-10-04,4.197999954223633,43.73223876953125,0
2010-10-05,4.223999977111816,44.79668045043945,0
2010-10-06,4.0920000076293945,44.40877914428711,0
2010-10-07,4.085999965667725,44.571170806884766,0
2010-10-08,4.085999965667725,44.87785720825195,0
2010-10-11,4.047999858856201,44.895912170410156,0
2010-10-12,4.047999858856201,45.202613830566406,0
2010-10-13,4.107999801635742,45.57246398925781,0
2010-10-14,4.150000095367432,45.48224639892578,0
2010-10-15,4.107999801635742,46.447471618652344,0
2010-10-18,4.046000003814697,46.276065826416016,0
2010-10-19,4.010000228881836,45.843082427978516,0
2010-10-20,4.130000114440918,46.17683792114258,0
2010-10-21,4.150000095367432,46.26704025268555,0
2010-10-22,4.144000053405762,46.58277130126953,0
2010-10-25,4.170000076293945,46.808292388916016,0
2010-10-26,4.271999835968018,46.934574127197266,0
2010-10-27,4.199999809265137,47.07891845703125,0
2010-10-28,4.23799991607666,47.17812728881836,0
2010-10-29,4.368000030517578,47.06990051269531,0
2010-11-01,4.2820000648498535,47.1059684753418,0
2010-11-02,4.25,47.61112594604492,0
2010-11-03,4.354000091552734,47.82762908935547,0
2010-11-04,4.980000019073486,48.41396713256836,0
2010-11-05,4.888000011444092,48.41396713256836,0
2010-11-08,4.995999813079834,48.47712707519531,0
2010-11-09,4.926000118255615,48.215511322021484,1
2010-11-10,5.872000217437744,48.459083557128906,0
2010-11-11,5.607999801635742,48.152366638183594,0
2010-11-12,5.9679999351501465,47.36756896972656,0
2010-11-15,6.159999847412109,47.187171936035156,0
2010-11-16,5.934000015258789,46.41136932373047,0
2010-11-17,5.8979997634887695,46.54669952392578,0
2010-11-18,5.978000164031982,47.295413970947266,0
2010-11-19,6.197999954223633,47.331485748291016,0
2010-11-22,6.679999828338623,47.7284049987793,0
2010-11-23,6.914000034332275,46.970672607421875,0
2010-11-24,7.093999862670898,47.91781997680664,0
2010-11-26,7.064000129699707,47.602108001708984,0
2010-11-29,6.866000175476074,47.56602478027344,0
2010-11-30,7.065999984741211,46.98872756958008,0
2010-12-01,6.869999885559082,47.980987548828125,0
2010-12-02,6.46999979019165,48.46809387207031,0
